event_id,source_id,timestamp,value
e00001,station-east-01,2026-09-09T08:00:00Z,26.6
e00002,station-east-02,2026-09-09T08:00:00Z,42.1
e00003,station-north-01,2026-09-09T08:00:00Z,44.5
e00004,station-north-02,2026-09-09T08:00:00Z,62.5
e00005,station-south-01,2026-09-09T08:00:00Z,93.4
e00006,station-south-02,2026-09-09T08:00:00Z,66.0
e00007,station-west-01,2026-09-09T08:00:00Z,116.7
e00008,station-west-02,2026-09-09T08:00:00Z,88.5
e00009,station-east-01,2026-09-09T08:01:00Z,20.5
e00010,station-east-02,2026-09-09T08:01:00Z,76.6
e00011,station-north-01,2026-09-09T08:01:00Z,41.1
e00012,station-north-02,2026-09-09T08:01:00Z,51.4
e00013,station-south-01,2026-09-09T08:01:00Z,109.1
e00014,station-south-02,2026-09-09T08:01:00Z,71.6
e00015,station-west-01,2026-09-09T08:01:00Z,126.3
e00016,station-west-02,2026-09-09T08:01:00Z,91.9
e00017,station-east-01,2026-09-09T08:02:00Z,23.1
e00018,station-east-02,2026-09-09T08:02:00Z,56.5
e00019,station-north-01,2026-09-09T08:02:00Z,42.1
e00020,station-north-02,2026-09-09T08:02:00Z,55.4
e00021,station-south-01,2026-09-09T08:02:00Z,97.7
e00022,station-south-02,2026-09-09T08:02:00Z,53.6
e00023,station-west-01,2026-09-09T08:02:00Z,115.1
e00024,station-west-02,2026-09-09T08:02:00Z,88.6
e00025,station-east-01,2026-09-09T08:03:00Z,24.7
e00026,station-east-02,2026-09-09T08:03:00Z,64.0
e00027,station-north-01,2026-09-09T08:03:00Z,42.6
e00028,station-north-02,2026-09-09T08:03:00Z,65.4
e00029,station-south-01,2026-09-09T08:03:00Z,100.9
e00030,station-south-02,2026-09-09T08:03:00Z,58.2
e00031,station-west-01,2026-09-09T08:03:00Z,120.7
e00032,station-west-02,2026-09-09T08:03:00Z,94.4
e00033,station-east-01,2026-09-09T08:04:00Z,24.6
e00034,station-east-02,2026-09-09T08:04:00Z,89.2
e00035,station-north-01,2026-09-09T08:04:00Z,37.5
e00036,station-north-02,2026-09-09T08:04:00Z,57.8
e00037,station-south-01,2026-09-09T08:04:00Z,102.5
e00038,station-south-02,2026-09-09T08:04:00Z,55.7
e00039,station-west-01,2026-09-09T08:04:00Z,116.2
e00040,station-west-02,2026-09-09T08:04:00Z,104.6
e00041,station-east-01,2026-09-09T08:05:00Z,26.9
e00042,station-east-02,2026-09-09T08:05:00Z,67.8
e00043,station-north-01,2026-09-09T08:05:00Z,35.3
e00044,station-north-02,2026-09-09T08:05:00Z,55.7
e00045,station-south-01,2026-09-09T08:05:00Z,102.3
e00046,station-south-02,2026-09-09T08:05:00Z,57.0
e00047,station-west-01,2026-09-09T08:05:00Z,118.9
e00048,station-west-02,2026-09-09T08:05:00Z,93.2
e00049,station-east-01,2026-09-09T08:06:00Z,23.5
e00050,station-east-02,2026-09-09T08:06:00Z,75.5
e00051,station-north-01,2026-09-09T08:06:00Z,36.6
e00052,station-north-02,2026-09-09T08:06:00Z,54.2
e00053,station-south-01,2026-09-09T08:06:00Z,100.8
e00054,station-south-02,2026-09-09T08:06:00Z,62.6
